nome,popularidade,seguidores,imagem
Luan Otten,51,18799,https://i.scdn.co/image/ab6761610000e5ebae48cff42a90fbfb8960cec3
Priscilla Alcantara,56,1079756,https://i.scdn.co/image/ab6761610000e5ebb951fd3534f14eb229da192c
Lil Whind,56,134245,https://i.scdn.co/image/ab6761610000e5eb5887ba63fbaf1f150632e52b
Luccas Neto,43,144373,https://i.scdn.co/image/ab67616d0000b2735676633c977df430692e3118
Dubeat,23,7952,https://i.scdn.co/image/ab67616d0000b273bfb5af8cad1d71ecdcfe183e
Boricua Boys Featuring DJ Mattox,2,436,https://i.scdn.co/image/ab67616d0000b2731edd5249ad669d92b57d9059
Laura Schadeck,29,76797,https://i.scdn.co/image/ab6761610000e5eb3f5342bfe3ba41b1a657de1a
Camila Loures,26,280344,https://i.scdn.co/image/ab6761610000e5eb682df67945b46078dd3afe74
Mharessa,13,67777,https://i.scdn.co/image/ab6761610000e5eba31fe4a68d7fa4ca7b50570c
Pedro Mendes,25,11922,https://i.scdn.co/image/ab6761610000e5ebc329dfac6f953a6abb5eb1be
Sharlon Oreano,15,11702,https://i.scdn.co/image/ab6761610000e5eb31c1cf2e25c33c0e0bc0cf94
Nathan Barone,16,29417,https://i.scdn.co/image/ab6761610000e5ebb2434a1676edc9b667776be4
Tauz,52,384013,https://i.scdn.co/image/ab6761610000e5ebd64e1f1ec84125426e75b190
Timbu Fun,12,608,https://i.scdn.co/image/ab6761610000e5ebd9275bb901b7736a1451fe20
Thomaz,30,1447,https://i.scdn.co/image/ab6761610000e5eba45c4ab4f070281f2ce95d07
Gui Amaral,9,21673,https://i.scdn.co/image/ab6761610000e5eb89da103ca112f07bec4b6c48
3Yeah,5,9652,https://i.scdn.co/image/ab6761610000e5eb021b7b4374878312e5e8b4bf
MC Garden,18,10573,https://i.scdn.co/image/ab6761610000e5eb071eef1d3795b8c165c1ced1
Dj Rhuivo,31,3063,https://i.scdn.co/image/ab6761610000e5eba11e091f790e0f9fbe22e1b9
Mc Romântico,33,4682,https://i.scdn.co/image/ab6761610000e5ebacadfa66f36352bdf15cb7cc
