artista,id_artista,album,id_album,lancamento,musica,id_musica,popularidade,preview_url,imagem,ano_lancamento
Priscilla Alcantara,4jkOEd7kQE6UyiXnuQy9pa,Girassol,3NpsEXK612BTwLLIFQECxO,2019-12-12,Girassol,22rcaYTa2UgcLCbeO0NoNj,59,https://p.scdn.co/mp3-preview/46bfacc07bf83ceb5bbb133675b57cd9fc9afb86?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5ebbfe63909369296bfab53a73a,2019
Whindersson Nunes,2emd6h8cx0U8QUAxDddXPF,Morena (feat. João Gomes),5ecH8b9GnLPeALSWbCbkxS,2021-11-26,Morena (feat. João Gomes),1X1jbaEN1a7wYrCXj4C5Vx,50,https://p.scdn.co/mp3-preview/a743e2e9bba0ccbbe83c99b096865d7f295173cb?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5ebbfe63909369296bfab53a73a,2021
Luan Otten,7tcFzUKSICkJWCZzWs4htq,Paraíso,5JJJgtNHFcvrcbJo3kNk0F,2020-08-21,Paraíso,6zHETn11reRan0JHwDDz4u,43,https://p.scdn.co/mp3-preview/12765f722c426b2ae77693a9967d2564a830a73f?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5ebbfe63909369296bfab53a73a,2020
Ivete Sangalo,7dzq55YG3wjViqexDwiycQ,O Mundo Vai,23WUSdlu1oSegP8E0gSDjV,2020-01-24,Coisa Linda,7Hq8x7RRDvl0E3F5gRc6K2,37,,https://i.scdn.co/image/ab6761610000e5ebbfe63909369296bfab53a73a,2020
Alok,0NGAZxHanS9e0iNHpR8f2W,Baião,5plmtJTPOSJFfWS9n4m1Dz,2021-09-17,Baião,50YRoMK3fWVFLZEO7lUEpB,35,,https://i.scdn.co/image/ab6761610000e5ebbfe63909369296bfab53a73a,2021
Luan Otten,7tcFzUKSICkJWCZzWs4htq,Paraíso (Acústico),5UVBBD6zh6Z732Ty6kgs1H,2020-10-30,Paraíso - Acústico,6UkOK6KAqEj1kRRU2XaAcZ,33,https://p.scdn.co/mp3-preview/5200566b94f7d3e6dbf4770df3ae94c28d4abe7d?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5ebbfe63909369296bfab53a73a,2020
Tirullipa,2SG17RyX7HzoebuwQv1YmZ,Eu Vou Tu Vai,1yXGg7fl1KQzEjkkSSlpHe,2019-02-04,Eu Vou Tu Vai,1YCVWzSkLZhzoqzbuEiPcT,28,,https://i.scdn.co/image/ab6761610000e5ebbfe63909369296bfab53a73a,2019
Tirullipa,2SG17RyX7HzoebuwQv1YmZ,Hit Do Pão,2bHCNmyZ7hMdymPuq5gBkL,2020-02-14,Hit Do Pão,5c4hWaTyRcGf0ymmeFna8p,18,https://p.scdn.co/mp3-preview/a787b8d3565582ae315594cbe610d1f954ecbd07?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5ebbfe63909369296bfab53a73a,2020
Whindersson Nunes,2emd6h8cx0U8QUAxDddXPF,Na Sua Cara,41CbnMlP4ufxhGC2I8nHfg,2017-09-03,Na Sua Cara,2D6UOeMEWwZtDFfCQWwc7M,10,https://p.scdn.co/mp3-preview/c6536b6d3fe4fb7cafe01db10a4c5ab4670041ee?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5ebbfe63909369296bfab53a73a,2017
Filtr Karaoke,6lAQLMthrFjCx6JWlXCmL7,Filtr Karaoke - Sucessos,2t1tWGHFfwgv50YyWlHWzt,2020-11-27,Girassol - Karaokê Instrumental,7v7OqAuPXNt5EyYrPoVjiB,9,https://p.scdn.co/mp3-preview/cae7c3a1b332a5842200b410c76c8e79b82cbf3b?cid=a3833ea9fb0c4cf1b192909666407b1c,https://i.scdn.co/image/ab6761610000e5ebbfe63909369296bfab53a73a,2020
